Date,PM2.5,PM10,NO2,NH3,SO2,CO,Ozone,AT,AQI,AQI_Standard
2019-05-31,26.02,53.4,15.46,10.46,1.35,0.23,27.97,30.51,53.4,Satisfactory
2019-06-01,35.55,55.18,20.04,2.41,1.49,0.31,22.76,29.78,59.25,Satisfactory
2019-06-02,24.13,45.5,15.1,5.05,2.77,0.27,26.67,29.56,45.5,Good
2019-06-03,26.11,46.3,20.25,1.9,3.2,0.38,40.34,29.45,46.3,Good
2019-06-04,25.9,46.33,15.31,4.26,3.27,0.3,25.76,29.39,46.33,Good
2019-06-05,24.05,39.08,13.33,1.06,1.52,0.31,22.89,29.37,40.08,Good
2019-06-06,19.16,32.48,18.95,3.28,1.53,0.35,24.92,29.34,32.48,Good
2019-06-07,18.88,33.34,21.61,3.69,1.69,0.37,28.0,28.36,33.34,Good
2019-06-08,12.61,26.78,17.23,4.09,1.73,0.31,26.64,30.04,26.78,Good
2019-06-09,26.32,39.42,29.3,36.86,3.75,0.3,28.56,31.09,43.87,Good
2019-06-10,29.29,50.07,9.36,2.94,1.21,0.29,32.75,31.24,50.07,Satisfactory
2019-06-11,28.11,50.42,15.9,10.95,1.2,0.27,34.11,31.26,50.42,Satisfactory
2019-06-12,32.32,63.85,10.82,2.81,1.41,0.27,31.26,31.32,63.85,Satisfactory
2019-06-13,45.17,73.26,23.73,6.21,4.87,0.46,55.31,29.84,75.28,Satisfactory
2019-06-14,51.5,89.48,20.08,4.32,1.51,0.47,53.99,31.7,89.48,Satisfactory
2019-06-15,34.11,62.57,24.79,6.95,2.56,0.33,29.04,29.34,62.57,Satisfactory
2019-06-16,30.66,58.42,14.71,4.07,5.27,0.28,35.37,31.09,58.42,Satisfactory
2019-06-17,50.32,100.63,21.91,4.67,4.26,0.45,30.9,30.94,100.42,Moderately Polluted
2019-06-18,48.7,86.99,29.09,5.26,1.54,0.46,24.01,30.16,86.99,Satisfactory
2019-06-19,50.8,95.37,29.7,2.55,1.55,0.44,32.45,30.29,95.37,Satisfactory
2019-06-20,40.27,76.12,29.35,2.63,2.37,0.4,18.68,30.36,76.12,Satisfactory
2019-06-21,21.06,41.79,26.49,2.47,1.25,0.33,17.58,30.39,41.79,Good
2019-06-22,19.09,34.11,19.63,6.7,1.68,0.24,23.43,30.41,34.11,Good
2019-06-23,15.9,33.62,16.96,10.98,1.37,0.22,20.34,30.41,33.62,Good
2019-06-24,31.79,57.45,15.38,4.12,2.5,0.24,29.69,30.41,57.45,Satisfactory
2019-06-25,22.54,48.01,11.95,10.3,3.24,0.21,32.61,30.41,48.01,Good
2019-06-26,18.22,39.66,8.36,15.19,2.72,0.18,30.03,30.41,39.66,Good
2019-06-27,23.3,44.11,9.77,26.34,3.36,0.2,31.25,30.42,44.11,Good
2019-06-28,30.45,52.04,6.82,10.18,4.44,0.28,54.48,29.21,54.48,Satisfactory
2019-06-29,44.09,79.14,6.54,6.05,3.06,0.42,48.31,28.91,79.14,Satisfactory
2019-06-30,44.58,87.07,7.62,3.9,2.17,0.55,24.55,27.82,87.07,Satisfactory
2019-07-01,26.04,57.63,8.23,3.7,1.93,0.4,29.79,28.31,57.63,Satisfactory
2019-07-02,18.77,31.49,8.27,4.92,4.23,0.36,40.9,27.98,40.9,Good
2019-07-03,20.96,38.89,8.48,3.98,2.05,0.36,44.69,28.29,44.69,Good
2019-07-04,32.27,66.38,7.85,12.59,2.68,0.37,47.43,29.8,66.38,Satisfactory
2019-07-05,31.86,66.14,11.47,27.57,2.05,0.43,24.69,28.85,66.14,Satisfactory
2019-07-06,31.03,55.43,9.64,27.46,5.3,0.38,28.72,27.86,55.43,Satisfactory
2019-07-07,20.27,41.07,4.94,21.04,6.07,0.27,26.99,28.15,41.07,Good
2019-07-08,28.75,59.14,4.51,16.11,7.68,0.22,34.66,29.29,59.14,Satisfactory
2019-07-09,21.9,56.02,4.65,55.7,8.91,0.24,31.16,29.56,56.02,Satisfactory
2019-07-10,24.89,52.15,4.44,47.28,6.15,0.29,30.05,28.91,52.15,Satisfactory
2019-07-11,26.74,53.67,12.69,108.53,7.35,0.24,28.58,29.08,53.67,Satisfactory
2019-07-12,26.21,53.79,3.6,68.02,11.49,0.26,31.05,29.32,53.79,Satisfactory
2019-07-13,32.96,67.56,0.94,89.06,12.04,0.27,42.33,30.06,67.56,Satisfactory
2019-07-14,39.6,72.73,1.49,174.55,19.37,0.31,51.25,30.88,72.73,Satisfactory
2019-07-15,49.49,92.56,6.81,284.6,15.88,0.31,51.45,31.23,92.56,Satisfactory
2019-07-16,41.32,81.93,9.14,205.75,11.95,0.44,31.46,28.49,81.93,Satisfactory
2019-07-17,62.38,124.2,14.68,30.16,4.51,0.61,30.44,30.16,116.13,Moderately Polluted
2019-07-18,45.4,102.08,16.67,7.41,6.7,0.32,17.45,30.68,101.39,Moderately Polluted
2019-07-19,16.47,36.43,11.85,8.9,3.21,0.19,19.0,30.37,36.43,Good
2019-07-20,23.22,47.99,12.19,9.64,2.95,0.18,23.48,29.91,47.99,Good
2019-07-21,24.25,47.12,11.04,5.72,6.16,0.2,28.71,29.96,47.12,Good
2019-07-22,19.64,37.21,12.44,15.79,3.28,0.15,18.07,30.01,37.21,Good
2019-07-23,13.56,30.9,11.79,4.72,5.23,0.15,15.42,30.09,30.9,Good
2019-07-24,13.25,33.2,17.63,3.83,7.91,0.2,20.76,29.65,33.2,Good
2019-07-25,36.82,71.24,30.09,3.73,14.99,0.36,33.17,28.91,71.24,Satisfactory
2019-07-26,29.59,53.61,27.74,6.91,5.16,0.35,24.08,27.47,53.61,Satisfactory
2019-07-27,26.9,47.59,29.06,7.45,3.32,0.37,17.67,27.84,47.59,Good
2019-07-28,11.65,27.94,16.11,6.14,2.96,0.22,19.61,27.9,27.94,Good
2019-07-29,11.51,21.74,21.16,5.21,2.58,0.35,21.25,27.04,26.45,Good
2019-07-30,21.01,45.25,21.8,5.5,3.55,0.38,18.62,27.92,45.25,Good
2019-07-31,22.33,47.45,22.73,5.12,4.65,0.48,24.71,28.48,47.45,Good
2019-08-01,23.52,47.98,26.9,6.35,8.67,0.43,24.12,29.01,47.98,Good
2019-08-02,17.54,34.74,22.09,10.18,8.12,0.54,16.83,28.24,34.74,Good
2019-08-03,30.14,49.8,16.2,27.37,8.81,0.63,14.98,28.09,50.23,Satisfactory
2019-08-04,39.56,64.92,6.53,12.87,4.2,0.81,18.08,28.02,65.93,Satisfactory
2019-08-05,35.01,60.37,15.75,4.79,2.93,0.7,20.56,29.26,60.37,Satisfactory
2019-08-06,26.99,48.07,24.99,7.29,3.06,0.54,14.3,28.28,48.07,Good
2019-08-07,8.15,15.39,13.19,14.42,1.68,0.24,22.94,26.7,22.94,Good
2019-08-08,12.39,23.84,15.15,12.07,2.62,0.25,15.24,26.77,23.84,Good
2019-08-09,24.57,55.0,27.34,13.47,3.88,0.29,17.81,28.67,55.0,Satisfactory
2019-08-10,34.64,63.34,30.0,10.89,4.26,0.59,23.61,28.48,63.34,Satisfactory
2019-08-11,46.02,75.46,29.17,11.04,3.3,0.61,23.57,29.4,76.7,Satisfactory
2019-08-12,25.51,53.7,26.42,15.72,2.76,0.52,14.43,27.58,53.7,Satisfactory
2019-08-13,16.84,29.2,18.68,14.04,1.59,0.3,21.23,26.98,29.2,Good
2019-08-14,34.86,61.13,20.21,11.05,2.0,0.26,22.99,28.09,61.13,Satisfactory
2019-08-15,28.48,44.77,17.97,8.66,2.34,0.29,23.71,26.93,47.47,Good
2019-08-16,33.29,58.36,25.62,9.82,3.04,0.33,21.1,27.89,58.36,Satisfactory
2019-08-17,26.66,35.89,27.87,9.29,1.82,0.38,14.6,24.94,44.43,Good
2019-08-18,20.45,29.66,16.88,9.35,2.42,0.28,23.97,26.24,34.08,Good
2019-08-19,18.55,32.46,18.88,13.83,2.44,0.24,19.65,28.49,32.46,Good
2019-08-20,28.11,52.76,24.28,14.85,5.7,0.27,23.18,28.87,52.76,Satisfactory
2019-08-21,34.28,60.72,25.98,11.98,2.32,0.32,16.58,29.51,60.72,Satisfactory
2019-08-22,35.34,72.14,28.63,16.46,2.84,0.33,13.05,28.62,72.14,Satisfactory
2019-08-23,23.46,39.4,23.46,12.69,1.53,0.4,10.97,28.01,39.4,Good
2019-08-24,28.18,46.61,32.26,12.07,1.29,0.45,6.17,26.92,46.97,Good
2019-08-25,19.29,36.46,24.33,12.22,1.68,0.31,16.15,26.95,36.46,Good
2019-08-26,17.6,34.94,18.37,15.0,7.56,0.35,20.65,27.08,34.94,Good
2019-08-27,19.75,40.05,28.77,17.64,1.66,0.34,7.9,28.12,40.05,Good
2019-08-28,29.1,51.72,30.41,14.91,1.81,0.45,7.78,28.09,51.72,Satisfactory
2019-08-29,21.49,39.41,30.57,15.67,1.41,0.4,5.08,27.72,39.41,Good
2019-08-30,25.43,46.23,23.98,16.49,1.62,0.33,7.1,29.17,46.23,Good
2019-08-31,23.88,47.74,16.11,20.54,3.83,0.32,8.34,29.6,47.74,Good
2019-09-01,36.31,62.66,25.09,25.92,4.98,0.36,16.6,28.61,62.66,Satisfactory
2019-09-02,20.98,40.1,27.81,32.05,3.32,0.43,16.44,28.47,40.1,Good
2019-09-03,16.04,28.36,22.78,103.33,3.87,0.34,11.84,27.74,28.48,Good
2019-09-04,15.42,31.63,9.95,6.97,3.55,0.28,9.18,28.63,31.63,Good
2019-09-05,15.88,28.97,15.46,13.51,3.63,0.3,12.22,28.17,28.97,Good
2019-09-06,15.37,32.34,17.71,17.01,3.56,0.29,11.74,28.89,32.34,Good
2019-09-07,19.26,31.98,19.44,16.89,3.66,0.38,9.2,27.35,32.1,Good
2019-09-08,16.09,36.12,18.63,13.76,3.59,0.3,10.33,27.5,36.12,Good
2019-09-09,23.84,40.94,16.39,11.03,5.76,0.26,19.51,28.61,40.94,Good
2019-09-10,24.99,46.69,12.24,14.51,4.95,0.23,22.38,29.19,46.69,Good
2019-09-11,22.46,38.59,19.32,12.45,6.32,0.35,17.41,27.63,38.59,Good
2019-09-12,29.18,43.01,24.76,13.55,4.07,0.35,8.27,26.41,48.63,Good
2019-09-13,21.68,41.65,20.59,10.85,4.96,0.26,16.89,27.82,41.65,Good
2019-09-14,29.04,56.61,21.45,9.32,6.54,0.27,35.49,28.62,56.61,Satisfactory
2019-09-15,29.3,58.97,17.27,7.72,10.14,0.22,43.85,29.33,58.97,Satisfactory
2019-09-16,27.67,50.21,17.82,7.45,6.85,0.24,30.86,29.3,50.21,Satisfactory
2019-09-17,22.78,42.0,21.95,6.0,5.68,0.22,22.99,30.02,42.0,Good
2019-09-18,15.96,31.27,18.27,5.81,3.91,0.3,23.5,28.72,31.27,Good
2019-09-19,7.98,28.47,22.03,9.03,3.99,0.34,18.41,28.4,28.47,Good
2019-09-20,34.44,63.75,28.94,8.13,4.88,0.58,24.4,27.82,63.75,Satisfactory
2019-09-21,36.47,69.56,29.15,5.55,5.41,0.65,26.94,26.7,69.56,Satisfactory
2019-09-22,30.49,51.06,25.46,6.35,3.78,0.46,27.11,27.55,51.06,Satisfactory
2019-09-23,18.93,39.67,23.57,6.85,3.64,0.37,21.2,28.32,39.67,Good
2019-09-24,10.32,22.11,17.76,7.89,3.6,0.26,21.05,25.9,22.2,Good
2019-09-25,23.76,36.6,26.13,7.07,3.28,0.49,16.9,24.94,39.6,Good
2019-09-26,25.38,39.23,27.27,7.03,3.74,0.49,22.14,25.51,42.3,Good
2019-09-27,25.58,43.38,27.21,8.12,3.8,0.52,23.87,25.94,43.38,Good
2019-09-28,30.22,48.95,28.49,6.68,4.13,0.59,18.65,25.16,50.37,Satisfactory
2019-09-29,20.66,32.06,25.1,5.86,3.39,0.38,21.39,25.15,34.43,Good
2019-09-30,18.19,36.93,23.62,6.15,3.96,0.37,23.37,26.54,36.93,Good
2019-10-01,34.76,70.91,26.38,5.0,6.0,0.46,30.09,28.02,70.91,Satisfactory
2019-10-02,55.51,93.01,28.66,5.61,5.04,0.63,33.1,28.59,93.01,Satisfactory
2019-10-03,40.73,69.89,32.43,5.12,3.81,0.56,24.97,27.13,69.89,Satisfactory
2019-10-04,37.28,61.91,27.0,5.78,6.48,0.45,31.53,28.24,62.13,Satisfactory
2019-10-05,48.39,70.34,28.13,5.19,4.83,0.64,29.29,27.5,80.65,Satisfactory
2019-10-06,52.98,74.36,29.1,4.31,6.22,0.54,30.1,27.91,88.3,Satisfactory
2019-10-07,45.0,63.38,27.79,4.21,3.89,0.59,27.91,26.35,75.0,Satisfactory
2019-10-08,30.53,43.93,24.62,4.33,3.44,0.58,25.46,27.05,50.88,Satisfactory
2019-10-09,18.19,24.8,22.52,5.27,3.37,0.34,22.89,24.72,30.32,Good
2019-10-10,19.95,32.65,20.54,3.92,4.74,0.43,26.58,25.77,33.25,Good
2019-10-11,44.83,71.47,29.62,4.54,5.58,0.8,30.56,26.93,74.72,Satisfactory
2019-10-12,55.49,88.97,32.55,4.28,4.0,0.87,32.35,27.14,92.48,Satisfactory
2019-10-13,76.86,112.91,29.44,4.84,6.29,0.57,32.53,27.09,156.2,Moderately Polluted
2019-10-14,76.19,119.36,30.86,6.28,4.9,0.52,39.72,26.85,153.97,Moderately Polluted
2019-10-15,74.57,120.16,31.56,8.7,4.78,0.57,45.92,27.1,148.57,Moderately Polluted
2019-10-16,69.83,101.01,41.9,11.95,3.34,0.67,35.98,26.44,132.77,Moderately Polluted
2019-10-17,60.34,94.43,36.9,9.11,5.28,0.78,27.39,25.51,101.13,Moderately Polluted
2019-10-18,87.81,130.18,52.16,6.82,5.42,1.08,25.47,27.3,192.7,Moderately Polluted
2019-10-19,79.13,126.82,42.34,7.58,3.95,0.8,35.51,28.33,163.77,Moderately Polluted
2019-10-20,80.21,118.22,35.42,7.11,4.3,0.63,49.55,27.87,167.37,Moderately Polluted
2019-10-21,112.51,156.81,32.23,8.35,6.93,0.58,46.7,27.53,275.03,Poor
2019-10-22,79.22,121.04,34.68,9.04,7.73,0.72,40.89,27.3,164.07,Moderately Polluted
2019-10-23,110.45,156.47,43.68,10.18,5.62,0.97,41.46,25.95,268.17,Poor
2019-10-24,42.77,57.69,33.53,9.08,3.09,0.5,26.17,22.7,71.28,Satisfactory
2019-10-25,20.97,46.03,24.96,7.87,3.0,0.44,8.16,22.44,46.03,Good
2019-10-26,39.35,82.37,23.16,6.87,4.79,0.6,16.96,23.12,82.37,Satisfactory
2019-10-27,105.84,156.13,23.79,6.26,4.79,0.57,14.63,24.52,252.8,Poor
2019-10-28,130.12,184.44,27.99,6.95,5.68,0.49,18.67,24.59,307.78,Very poor
2019-10-29,104.15,163.42,28.09,7.96,5.4,0.56,15.76,24.17,247.17,Poor
2019-10-30,76.01,171.44,27.28,7.77,4.29,0.76,27.35,24.49,153.37,Moderately Polluted
2019-10-31,59.0,213.77,36.8,10.54,4.26,1.0,37.46,24.51,175.85,Moderately Polluted
2019-11-01,120.35,235.15,45.83,10.38,6.53,1.16,45.87,24.76,300.27,Very poor
2019-11-02,87.31,176.62,42.18,9.59,6.48,0.82,43.31,25.09,191.03,Moderately Polluted
2019-11-03,72.55,150.36,35.53,9.26,4.55,0.71,43.22,25.21,141.83,Moderately Polluted
2019-11-04,95.91,175.41,44.01,10.57,4.28,1.06,40.99,25.01,219.7,Poor
2019-11-05,157.0,275.3,42.99,10.81,6.16,1.27,45.1,24.92,328.46,Very poor
2019-11-06,175.93,286.28,42.49,12.83,5.57,1.41,44.25,23.76,343.02,Very poor
2019-11-07,105.74,203.22,63.36,13.72,8.99,0.9,39.43,23.32,252.47,Poor
2019-11-08,60.58,108.66,40.22,13.5,3.95,0.6,26.86,23.43,105.77,Moderately Polluted
2019-11-09,13.2,20.97,20.23,9.94,3.19,0.39,31.92,22.61,31.92,Good
2019-11-10,22.74,44.96,19.49,7.25,4.79,0.4,36.1,24.17,44.96,Good
2019-11-11,43.64,81.68,30.11,6.57,4.62,0.89,29.2,23.95,81.68,Satisfactory
