Date,PM2.5,PM10,NO2,NH3,SO2,CO,Ozone,AT,AQI,AQI_Standard
2019-08-06,17.9,32.69,12.34,7.21,2.38,0.17,34.74,29.95,34.74,Good
2019-08-07,18.32,34.02,5.98,8.45,1.36,0.16,29.94,27.24,34.02,Good
2019-08-08,18.75,35.35,13.96,7.56,1.1,0.23,9.9,27.24,35.35,Good
2019-08-09,17.05,30.03,17.17,7.67,1.21,0.24,9.02,29.39,30.03,Good
2019-08-10,23.9,36.21,26.45,9.67,1.51,0.55,8.25,28.94,39.83,Good
2019-08-11,29.56,45.92,32.8,9.39,1.13,0.41,7.03,30.21,49.27,Good
2019-08-12,27.25,41.72,32.72,12.46,1.03,0.47,5.64,27.85,45.42,Good
2019-08-13,7.26,11.56,14.47,11.27,1.54,0.17,5.61,27.47,18.09,Good
2019-08-14,23.55,39.0,21.15,10.46,1.52,0.2,5.24,28.7,39.25,Good
2019-08-15,19.24,31.45,12.27,5.41,1.38,0.28,5.99,27.31,32.07,Good
2019-08-16,21.7,37.82,12.25,23.33,1.58,0.32,10.34,28.61,37.82,Good
2019-08-17,17.12,21.87,8.79,34.07,2.03,0.33,19.75,25.43,28.53,Good
2019-08-18,13.82,17.71,6.5,23.01,2.13,0.17,32.76,26.72,32.76,Good
2019-08-19,8.11,17.97,5.48,16.12,2.17,0.19,27.4,29.25,27.4,Good
2019-08-20,16.28,29.17,63.68,36.55,2.0,0.19,29.7,29.85,79.6,Satisfactory
2019-08-21,22.83,35.95,3.45,5.47,2.13,0.24,27.81,30.4,38.05,Good
2019-08-22,22.24,34.17,11.58,5.67,1.71,0.34,20.75,29.48,37.07,Good
2019-08-23,12.63,17.64,14.57,4.86,1.75,0.27,16.41,28.59,21.05,Good
2019-08-24,13.25,21.07,18.2,5.29,1.55,0.28,13.63,27.75,22.75,Good
2019-08-25,10.07,15.32,12.66,5.31,1.96,0.23,24.09,27.39,24.09,Good
2019-08-26,8.21,12.51,12.32,4.36,2.12,0.2,31.31,27.7,31.31,Good
2019-08-27,7.68,14.22,10.97,5.2,2.53,0.21,32.13,28.99,32.13,Good
2019-08-28,14.54,23.17,13.8,4.65,1.93,0.3,25.98,29.11,25.98,Good
2019-08-29,8.06,13.62,13.17,3.94,1.95,0.23,23.27,28.46,23.27,Good
2019-08-30,12.53,20.35,11.8,4.42,1.6,0.21,19.76,30.05,20.88,Good
2019-08-31,12.29,19.0,11.01,7.57,1.85,0.23,21.57,30.49,21.57,Good
2019-09-01,22.22,36.43,19.38,11.46,1.96,0.36,23.15,29.1,37.03,Good
2019-09-02,11.72,16.45,12.29,9.91,1.41,0.25,14.8,28.76,19.53,Good
2019-09-03,6.22,11.43,13.6,10.89,1.87,0.18,16.81,28.04,17.0,Good
2019-09-04,5.08,9.45,9.05,8.42,2.16,0.17,23.14,28.48,23.14,Good
2019-09-05,5.34,12.13,8.85,9.89,2.04,0.18,26.71,29.08,26.71,Good
2019-09-06,4.97,9.84,9.89,7.89,1.85,0.16,27.82,29.0,27.82,Good
2019-09-07,6.08,11.72,11.03,6.21,2.02,0.19,25.73,28.0,25.73,Good
2019-09-08,8.3,13.65,13.12,4.76,2.06,0.21,23.49,28.19,23.49,Good
2019-09-09,13.62,20.77,12.72,5.13,2.22,0.2,34.0,29.55,34.0,Good
2019-09-10,17.74,30.82,9.94,9.19,2.04,0.19,35.9,30.19,35.9,Good
2019-09-11,12.43,21.69,15.51,9.38,2.2,0.24,23.59,28.3,23.59,Good
2019-09-12,13.36,19.89,17.81,7.58,1.98,0.2,19.02,26.91,22.27,Good
2019-09-13,8.28,25.55,16.03,4.49,2.44,0.21,29.85,29.04,29.85,Good
2019-09-14,10.33,32.62,12.77,3.94,2.39,0.17,38.08,29.42,38.08,Good
2019-09-15,13.48,35.68,13.14,3.35,2.63,0.12,39.59,30.34,39.59,Good
2019-09-16,10.67,28.61,9.67,6.43,2.44,0.14,28.26,30.22,28.61,Good
2019-09-17,6.34,24.5,9.07,8.64,2.26,0.17,21.12,30.67,24.5,Good
2019-09-18,5.6,15.77,8.67,6.5,2.17,0.17,20.68,29.36,20.68,Good
2019-09-19,4.1,9.34,7.97,5.55,2.18,0.14,17.74,30.19,17.74,Good
2019-09-20,6.46,26.92,22.37,17.83,3.09,0.35,20.42,30.05,27.96,Good
2019-09-21,12.65,34.19,24.0,16.12,4.74,0.32,18.77,27.93,34.19,Good
2019-09-22,10.53,22.67,14.26,9.51,2.78,0.21,26.16,28.59,26.16,Good
2019-09-23,6.89,14.51,8.8,7.74,3.01,0.18,30.5,29.13,30.5,Good
2019-09-24,3.61,9.72,7.31,8.78,2.18,0.1,19.1,26.74,19.1,Good
2019-09-25,5.7,13.69,14.04,8.44,1.79,0.33,12.08,25.55,17.55,Good
2019-09-26,9.84,16.87,16.13,9.23,3.01,0.3,18.92,26.34,20.16,Good
2019-09-27,9.51,18.46,17.67,8.63,3.87,0.29,16.08,26.85,22.09,Good
2019-09-28,10.16,19.01,15.47,9.58,3.06,0.31,12.0,25.96,19.34,Good
2019-09-29,7.65,15.98,12.71,7.28,3.33,0.22,18.06,25.83,18.06,Good
2019-09-30,7.59,19.25,15.97,8.97,4.09,0.23,18.61,27.24,19.96,Good
2019-10-01,20.88,47.17,24.99,9.01,5.93,0.37,23.97,29.22,47.17,Good
2019-10-02,29.86,52.46,18.49,6.07,4.26,0.29,29.95,28.22,52.46,Satisfactory
2019-10-03,21.52,42.06,24.77,7.99,3.94,0.4,20.14,28.0,42.06,Good
2019-10-04,19.76,35.74,16.59,6.9,6.07,0.24,35.79,28.4,35.79,Good
2019-10-05,23.72,40.15,24.67,6.72,3.79,0.45,27.64,28.52,40.15,Good
2019-10-06,25.21,44.36,23.89,6.28,3.39,0.3,24.22,28.64,44.36,Good
2019-10-07,23.05,40.65,24.39,6.94,3.89,0.39,28.46,27.32,40.65,Good
2019-10-08,14.03,23.74,17.84,8.13,3.9,0.37,23.91,28.07,23.91,Good
2019-10-09,2.83,7.98,10.0,5.53,3.35,0.13,23.09,25.5,23.09,Good
2019-10-10,8.31,24.04,21.45,8.26,4.85,0.57,16.9,26.98,28.5,Good
2019-10-11,9.2,43.48,28.26,15.73,5.39,0.65,20.64,28.0,43.48,Good
2019-10-12,29.09,53.04,30.8,12.71,4.29,0.77,30.82,28.44,53.04,Satisfactory
2019-10-13,50.37,88.16,34.89,11.85,6.39,0.53,24.77,27.69,88.16,Satisfactory
2019-10-14,50.99,85.91,38.93,12.45,6.09,0.44,41.59,28.21,85.91,Satisfactory
2019-10-15,44.67,82.67,36.65,13.45,6.02,0.51,44.88,28.54,82.67,Satisfactory
2019-10-16,38.99,66.87,32.93,13.63,4.79,0.46,27.54,27.44,66.87,Satisfactory
2019-10-17,34.22,60.25,36.15,17.03,4.62,0.68,19.88,27.08,60.25,Satisfactory
2019-10-18,46.23,86.24,38.71,22.89,6.01,0.97,27.49,28.75,86.24,Satisfactory
2019-10-19,45.1,92.78,29.08,14.41,3.47,0.79,30.61,29.49,92.78,Satisfactory
2019-10-20,53.83,104.15,35.59,13.48,4.46,0.95,33.5,29.06,102.77,Moderately Polluted
2019-10-21,75.8,129.69,41.5,10.19,6.13,0.78,33.14,28.83,152.67,Moderately Polluted
2019-10-22,56.38,114.38,51.34,7.77,7.88,1.02,28.69,28.69,109.59,Moderately Polluted
2019-10-23,60.7,114.54,39.68,6.43,5.26,0.89,27.96,27.29,109.69,Moderately Polluted
2019-10-24,24.19,51.52,25.2,6.35,4.92,0.49,33.83,23.44,51.52,Satisfactory
2019-10-25,10.06,35.03,17.53,13.4,4.52,0.52,26.63,23.08,35.03,Good
2019-10-26,29.48,69.65,35.12,4.39,7.81,0.83,14.25,24.09,69.65,Satisfactory
2019-10-27,140.07,128.75,36.97,5.7,12.74,0.74,25.09,25.8,315.44,Very poor
2019-10-28,99.87,145.58,38.47,8.24,12.61,0.58,35.73,26.04,232.9,Poor
2019-10-29,114.44,170.57,48.38,6.11,11.61,0.83,31.52,25.62,281.47,Poor
2019-10-30,91.26,157.85,52.56,7.57,8.17,0.99,30.97,26.16,204.2,Poor
2019-10-31,119.65,189.7,64.47,8.74,10.05,1.4,28.32,25.99,298.83,Poor
2019-11-01,86.11,171.23,65.91,11.63,13.56,1.05,35.37,26.98,187.03,Moderately Polluted
2019-11-02,64.09,130.8,60.72,9.19,11.95,0.99,28.72,26.84,120.53,Moderately Polluted
2019-11-03,53.08,109.13,52.36,10.18,9.44,0.9,30.15,27.05,106.09,Moderately Polluted
2019-11-04,57.87,125.58,65.3,9.01,11.05,1.19,30.8,26.88,117.05,Moderately Polluted
2019-11-05,109.7,219.79,80.96,10.07,15.62,1.25,35.82,25.44,265.67,Poor
2019-11-06,144.64,261.25,73.63,13.07,12.51,1.11,40.62,24.39,318.95,Very poor
2019-11-07,69.3,190.38,86.23,14.71,17.9,0.92,32.3,17.7,160.25,Moderately Polluted
2019-11-08,10.0,154.94,31.53,13.89,7.44,0.47,31.29,9.58,136.63,Moderately Polluted
2019-11-09,6.7,137.22,16.77,11.76,5.05,0.43,32.31,20.35,124.81,Moderately Polluted
2019-11-10,16.15,128.37,25.19,9.38,6.56,0.59,34.7,24.94,118.91,Moderately Polluted
2019-11-11,57.07,119.51,46.09,7.5,8.09,1.27,19.66,25.14,113.01,Moderately Polluted
2019-11-12,72.56,140.85,75.37,23.82,14.2,1.68,33.87,25.0,141.87,Moderately Polluted
2019-11-13,90.73,168.63,90.68,6.07,18.3,1.12,35.34,24.43,202.43,Poor
2019-11-14,71.6,139.29,62.54,19.99,13.79,1.2,30.6,24.83,138.67,Moderately Polluted
2019-11-15,72.25,144.67,58.61,19.8,12.66,1.3,28.29,25.56,140.83,Moderately Polluted
2019-11-16,78.2,153.73,48.5,22.55,13.99,1.19,36.19,25.37,160.67,Moderately Polluted
2019-11-17,82.5,160.12,30.39,25.35,21.01,1.2,38.83,24.65,175.0,Moderately Polluted
2019-11-18,84.28,168.39,26.31,20.96,18.86,1.18,39.47,24.67,180.93,Moderately Polluted
2019-11-19,88.7,182.76,52.47,18.72,18.0,1.38,34.02,24.19,195.67,Moderately Polluted
2019-11-20,84.41,172.1,70.31,19.21,15.79,1.71,32.01,23.72,181.37,Moderately Polluted
2019-11-21,81.22,163.96,52.7,22.93,12.73,0.99,22.31,23.49,170.73,Moderately Polluted
2019-11-22,70.27,162.51,44.86,21.84,14.71,1.0,35.92,23.49,141.67,Moderately Polluted
2019-11-23,95.65,193.36,42.04,20.74,23.99,0.74,43.7,23.95,218.83,Poor
2019-11-24,93.81,206.75,43.8,20.99,17.33,0.85,45.49,24.93,212.7,Poor
2019-11-25,93.63,184.34,39.95,20.57,9.67,1.18,35.73,23.86,212.1,Poor
2019-11-26,97.33,187.18,65.09,24.77,7.9,2.09,33.54,24.02,224.43,Poor
2019-11-27,105.06,198.25,50.74,21.06,8.55,1.25,34.86,24.38,250.2,Poor
2019-11-28,65.65,117.04,33.42,19.11,9.21,0.39,36.62,25.1,118.83,Moderately Polluted
2019-11-29,60.13,125.24,49.69,23.38,9.59,1.49,35.3,25.53,116.83,Moderately Polluted
2019-11-30,97.33,198.42,61.23,26.01,17.02,1.63,27.18,24.43,224.43,Poor
2019-12-01,85.19,178.27,50.02,23.2,9.8,1.02,33.18,23.41,183.97,Moderately Polluted
2019-12-02,77.47,152.82,52.13,23.66,10.77,1.23,25.28,23.14,158.23,Moderately Polluted
2019-12-03,80.73,176.2,52.27,24.29,13.36,1.28,29.99,21.83,169.1,Moderately Polluted
2019-12-04,87.94,187.64,57.78,19.07,16.09,0.95,34.01,22.12,193.13,Moderately Polluted
2019-12-05,73.78,159.73,71.83,15.72,12.49,1.23,30.3,21.71,145.93,Moderately Polluted
2019-12-06,61.04,117.32,61.71,13.24,8.78,0.91,25.89,22.54,111.55,Moderately Polluted
2019-12-07,55.1,133.89,75.81,15.14,9.68,1.12,23.77,23.72,122.59,Moderately Polluted
2019-12-08,58.07,140.92,61.39,14.69,13.66,0.76,21.9,24.44,127.28,Moderately Polluted
2019-12-09,46.97,112.15,56.93,15.98,12.55,0.91,26.06,23.47,108.1,Moderately Polluted
2019-12-10,40.69,110.61,47.55,17.31,9.11,0.62,36.17,22.09,107.07,Moderately Polluted
2019-12-11,59.56,122.8,38.61,15.26,10.16,0.65,46.03,22.42,115.2,Moderately Polluted
2019-12-12,55.88,139.76,43.1,14.68,8.85,0.78,33.8,22.46,126.51,Moderately Polluted
2019-12-13,81.78,165.08,39.88,15.23,11.04,0.82,39.14,22.76,172.6,Moderately Polluted
2019-12-14,101.61,208.15,52.78,15.6,13.31,1.14,35.78,23.23,238.7,Poor
2019-12-15,78.45,157.51,49.02,15.78,10.42,0.85,33.82,22.53,161.5,Moderately Polluted
2019-12-16,48.25,112.18,48.17,16.08,16.56,0.71,24.69,22.31,108.12,Moderately Polluted
2019-12-17,56.74,129.45,49.24,16.62,14.14,0.74,27.0,21.67,119.63,Moderately Polluted
2019-12-18,59.87,121.74,42.71,16.95,13.01,0.62,35.0,19.02,114.49,Moderately Polluted
2019-12-19,56.72,120.76,45.72,17.39,14.18,0.67,27.65,16.85,113.84,Moderately Polluted
2019-12-20,71.19,148.77,67.74,16.33,11.82,1.24,28.53,16.42,137.3,Moderately Polluted
2019-12-21,101.45,195.21,69.52,13.97,14.67,1.0,27.24,17.03,238.17,Poor
2019-12-22,97.42,177.62,57.12,13.42,8.21,1.1,27.54,16.55,224.73,Poor
2019-12-23,109.68,194.16,57.17,12.71,11.39,1.01,32.55,18.74,265.6,Poor
2019-12-24,109.86,213.0,96.85,12.53,15.68,1.77,28.73,18.26,266.2,Poor
2019-12-25,96.3,181.47,111.95,11.57,11.23,1.76,28.19,19.18,221.0,Poor
2019-12-26,89.46,179.65,69.44,11.93,10.9,0.9,25.14,17.39,198.2,Moderately Polluted
2019-12-27,69.61,114.25,43.56,16.1,13.23,0.79,27.38,16.07,132.03,Moderately Polluted
2019-12-28,99.79,186.33,50.63,17.43,18.65,1.07,22.4,15.87,232.63,Poor
2019-12-29,79.06,149.71,54.39,17.65,17.83,0.92,29.63,17.12,163.53,Moderately Polluted
2019-12-30,98.63,192.77,85.15,19.05,16.67,1.82,20.31,16.62,228.77,Poor
2019-12-31,109.88,211.55,87.56,15.71,15.51,1.58,17.61,17.51,266.27,Poor
2020-01-01,122.2,241.88,88.48,15.08,16.14,1.54,20.92,18.92,301.69,Very poor
2020-01-02,101.87,187.92,70.45,13.13,12.76,1.08,19.94,20.27,239.57,Poor
2020-01-03,42.32,70.53,41.04,12.98,6.98,0.36,15.51,17.5,70.53,Satisfactory
2020-01-04,44.3,85.85,71.82,13.91,7.84,1.27,5.72,17.6,89.77,Satisfactory
2020-01-05,71.65,149.39,75.9,12.62,10.43,1.24,7.84,17.37,138.83,Moderately Polluted
2020-01-06,81.45,160.58,74.49,13.15,11.62,1.2,20.13,17.5,171.5,Moderately Polluted
2020-01-07,84.26,172.08,35.66,16.25,14.28,1.07,28.95,16.94,180.87,Moderately Polluted
2020-01-08,77.48,188.04,41.93,13.84,11.34,1.11,24.88,18.67,158.69,Moderately Polluted
2020-01-09,78.78,151.09,37.39,13.7,10.24,0.89,19.8,18.7,162.6,Moderately Polluted
2020-01-10,70.99,141.97,36.88,14.05,14.89,0.8,21.16,18.51,136.63,Moderately Polluted
2020-01-11,61.67,140.03,38.24,15.88,15.5,1.03,25.88,16.59,126.69,Moderately Polluted
2020-01-12,65.41,155.38,41.72,14.47,15.03,0.95,29.52,17.31,136.92,Moderately Polluted
2020-01-13,80.91,187.73,50.09,13.49,16.73,1.55,32.1,17.65,169.7,Moderately Polluted
2020-01-14,124.28,268.15,72.78,8.83,18.34,2.05,23.47,18.6,303.29,Very poor
2020-01-15,130.21,248.1,71.28,8.6,21.79,1.93,25.8,19.74,307.85,Very poor
2020-01-16,117.33,195.75,55.52,11.3,14.38,1.47,35.35,20.98,291.1,Poor
2020-01-17,83.88,154.41,49.16,11.3,13.95,1.36,26.02,21.6,179.6,Moderately Polluted
2020-01-18,72.27,130.88,52.54,9.91,16.12,1.1,20.64,21.96,140.9,Moderately Polluted
2020-01-19,72.34,141.47,46.32,10.98,15.28,0.72,27.34,21.81,141.13,Moderately Polluted
2020-01-20,61.25,105.13,40.19,13.56,14.22,0.75,34.22,19.37,104.17,Moderately Polluted
2020-01-21,74.72,143.14,48.16,11.11,16.19,1.09,31.21,18.89,149.07,Moderately Polluted
2020-01-22,109.03,201.15,55.74,8.69,15.14,1.44,29.03,19.46,263.43,Poor
2020-01-23,97.76,175.55,49.77,11.32,16.99,0.99,31.43,20.09,225.87,Poor
2020-01-24,75.31,156.23,62.69,12.87,18.62,1.12,29.12,19.09,151.03,Moderately Polluted
2020-01-25,58.69,122.71,60.59,13.35,16.65,0.87,42.86,18.23,115.14,Moderately Polluted
2020-01-26,100.11,199.37,79.19,11.26,18.55,1.25,36.13,18.7,233.7,Poor
2020-01-27,104.08,210.03,74.0,11.43,13.69,1.28,35.31,18.64,246.93,Poor
2020-01-28,89.37,158.44,51.69,7.55,15.95,0.71,51.15,20.25,197.9,Moderately Polluted
2020-01-29,45.53,73.48,31.75,8.13,10.96,0.46,52.82,21.05,75.88,Satisfactory
2020-01-30,60.31,92.17,46.11,10.62,10.14,1.02,27.84,20.44,101.03,Moderately Polluted
2020-01-31,69.29,132.16,58.24,11.61,13.98,0.93,28.58,20.09,130.97,Moderately Polluted
2020-02-01,63.08,125.94,65.33,12.11,14.81,0.92,34.72,19.64,117.29,Moderately Polluted
2020-02-02,61.9,157.77,71.81,11.2,15.78,0.98,34.94,19.17,138.51,Moderately Polluted
2020-02-03,59.45,135.81,66.61,12.1,12.53,0.94,37.39,18.84,123.87,Moderately Polluted
2020-02-04,71.71,167.63,71.61,11.21,20.75,0.98,36.0,19.45,145.09,Moderately Polluted
2020-02-05,87.61,175.86,64.66,9.7,28.52,0.89,43.41,21.08,192.03,Moderately Polluted
2020-02-06,65.26,134.16,59.03,9.92,15.19,0.9,35.29,21.01,122.77,Moderately Polluted
2020-02-07,72.42,146.73,51.68,9.82,14.51,0.75,33.76,20.37,141.4,Moderately Polluted
2020-02-08,99.48,208.96,58.43,9.02,23.17,0.98,12.58,18.91,231.6,Poor
2020-02-09,82.3,160.54,61.61,9.37,18.9,0.89,36.85,20.4,174.33,Moderately Polluted
2020-02-10,80.54,178.6,71.04,11.17,19.52,1.11,35.24,19.48,168.47,Moderately Polluted
2020-02-11,92.09,203.08,93.29,11.26,20.35,1.45,34.22,19.93,206.97,Poor
2020-02-12,95.38,207.57,104.07,10.31,17.68,1.76,34.07,20.03,217.93,Poor
2020-02-13,85.6,176.96,71.6,8.93,15.06,1.08,37.31,20.81,185.33,Moderately Polluted
2020-02-14,78.57,154.28,63.15,6.92,14.49,0.82,40.3,22.33,161.9,Moderately Polluted
2020-02-15,55.73,135.15,61.58,9.14,12.18,0.97,37.14,22.51,123.43,Moderately Polluted
2020-02-16,75.72,172.05,65.59,7.86,16.75,0.84,39.73,22.84,152.4,Moderately Polluted
2020-02-17,81.14,166.85,70.18,8.4,14.84,1.02,37.73,23.04,170.47,Moderately Polluted
2020-02-18,72.89,143.51,48.16,5.13,15.21,0.67,49.34,23.37,142.97,Moderately Polluted
2020-02-19,61.52,109.0,48.91,6.6,28.57,0.46,35.36,23.51,106.0,Moderately Polluted
2020-02-20,48.22,82.38,38.8,5.69,20.72,0.47,49.49,24.22,82.38,Satisfactory
2020-02-21,64.65,159.66,65.4,11.91,16.26,1.15,37.35,24.12,139.77,Moderately Polluted
2020-02-22,89.03,183.16,65.31,9.27,24.07,1.05,46.67,24.59,196.77,Moderately Polluted
2020-02-23,78.8,174.6,56.91,6.69,18.01,0.7,38.52,24.64,162.67,Moderately Polluted
2020-02-24,90.58,186.47,62.33,5.34,19.26,0.92,24.56,23.33,201.93,Poor
2020-02-25,63.27,117.94,55.23,4.29,10.35,0.62,14.57,20.56,111.96,Moderately Polluted
2020-02-26,35.23,74.02,47.08,6.39,13.23,0.41,33.14,22.3,74.02,Satisfactory
2020-02-27,38.13,94.89,55.59,8.4,16.93,0.8,36.38,22.95,94.89,Satisfactory
2020-02-28,59.08,132.38,51.91,8.2,15.89,0.59,45.04,23.17,121.59,Moderately Polluted
2020-02-29,64.9,137.93,73.84,8.27,15.99,1.04,38.12,23.9,125.29,Moderately Polluted
2020-03-01,70.98,157.16,62.61,5.6,18.35,0.82,45.45,24.74,138.11,Moderately Polluted
2020-03-02,73.46,149.8,36.0,7.27,16.17,0.65,42.68,25.84,144.87,Moderately Polluted
2020-03-03,65.78,127.67,12.6,11.66,11.78,0.55,54.35,24.94,119.27,Moderately Polluted
2020-03-04,38.55,69.73,13.2,17.78,10.92,0.4,38.85,24.09,69.73,Satisfactory
